"","PLAYER_NAME","YEAR","POS","MIN","GP","PER","WS","TS_PCT","PTS","FTA","TD3"
"1","Steven Adams","2019-2020","C",26.9655172413793,58,20.8,6.2,0.605,11,3.2,0
"2","Bam Adebayo","2019-2020","PF",34.3846153846154,65,20.6,8.1,0.606,16.3,5.3,3
"3","LaMarcus Aldridge","2019-2020","C",33.0943396226415,53,19.8,4.5,0.571,18.9,3.6,0
"4","Nickeil Alexander-Walker","2019-2020","SG",12.219512195122,41,7.6,-0.3,0.441,5.4,0.7,0
"5","Grayson Allen","2019-2020","SG",16.7741935483871,31,11.1,0.7,0.577,7.5,1.2,0
"6","Jarrett Allen","2019-2020","C",25.7538461538462,65,20.4,7.2,0.66,10.9,3.7,0
"7","Al-Farouq Aminu","2019-2020","PF",21.1111111111111,18,7.6,0.1,0.395,4.3,1.6,0
"8","Kyle Anderson","2019-2020","PF",19.3,60,12.7,2.2,0.538,5.7,1.1,0
"9","Giannis Antetokounmpo","2019-2020","PF",30.948275862069,58,31.8,10.7,0.61,29.9,10,4
"10","Carmelo Anthony","2019-2020","PF",32.5490196078431,51,12.3,1.1,0.523,15.3,2.7,0
"11","OG Anunoby","2019-2020","SF",30.1111111111111,63,13.2,5.1,0.598,10.9,1.4,0
"12","Ryan Arcidiacono","2019-2020","PG",16.0344827586207,58,9,1.4,0.551,4.5,0.7,0
"13","Trevor Ariza","2019-2020","SF",28.1698113207547,53,11,2.6,0.593,8,1.4,0
"14","D.J. Augustin","2019-2020","PG",24.84,50,14.1,2.6,0.549,10.4,3.1,0
"15","Deandre Ayton","2019-2020","C",33.258064516129,31,20.8,2.7,0.579,18.8,2.5,0
"16","Dwayne Bacon","2019-2020","SG",17.6153846153846,39,6.1,-0.8,0.419,5.7,1.4,0
"17","Lonzo Ball","2019-2020","PG",32.3508771929825,57,13.4,2.5,0.521,12.2,1.2,3
"18","Mo Bamba","2019-2020","C",14.2950819672131,61,17.6,2.5,0.544,5.4,0.7,0
"19","J.J. Barea","2019-2020","PG",15.0384615384615,26,14.9,0.7,0.519,7.5,0.7,0
"20","Harrison Barnes","2019-2020","PF",34.8769230769231,65,13.3,4.3,0.577,14.6,3.8,0
"21","RJ Barrett","2019-2020","SG",30.4285714285714,56,10.7,-0.5,0.479,14.3,4.5,0
"22","Will Barton","2019-2020","SF",33.0344827586207,58,15.7,4.5,0.549,15.1,2.3,0
"23","Keita Bates-Diop","2019-2020","SF",17.0512820512821,39,12.6,1.1,0.541,6.5,1.7,0
"24","Nicolas Batum","2019-2020","SF",22.9545454545455,22,9.2,0.6,0.463,3.6,0.5,0
"25","Aron Baynes","2019-2020","C",22.2380952380952,42,15.1,2,0.581,11.5,1.8,0
"26","Kent Bazemore","2019-2020","SF-SG",25.0307692307692,65,9.4,0.7,0.499,8.7,2.2,0
"27","Darius Bazley","2019-2020","PF",17.1509433962264,53,8.1,0.4,0.475,4.6,0.9,0
"28","Bradley Beal","2019-2020","SG",36.0175438596491,57,23.1,5.1,0.579,30.5,8,0
"29","Malik Beasley","2019-2020","SG",21.9818181818182,55,12.7,1.3,0.546,11.2,1.2,0
"30","Marco Belinelli","2019-2020","SG",14.9811320754717,53,10.4,0.7,0.523,5.8,0.9,0
